id,k,ngon,octagon,wt_u,len_u,ratio_u,wt_v,len_v,ratio_v,required_c,required_c2
t1002,1,"4×1 8×1",1,3,2.414214,1.242641,3,2.414214,1.242641,1.242641,1.544156
t1001,1,"6×1",0,2,1.732051,1.154701,2,1.732051,1.154701,1.154701,1.333333
t1010,1,"3×8 6×1",0,3,2.645751,1.133893,3,2.645751,1.133893,1.133893,1.285714
t1006,1,"3×2 4×3 6×1",0,3,2.732051,1.098076,3,2.732051,1.098076,1.098076,1.205771
t1004,1,"3×2 12×1",0,4,3.732051,1.071797,4,3.732051,1.071797,1.071797,1.148748
t1003,1,"4×3 6×2 12×1",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t1009,1,"3×4 4×2",0,2,1.931852,1.035276,2,1.931852,1.035276,1.035276,1.071797
t1008,1,"3×2 4×1",0,1,1.000000,1.000000,2,1.931852,1.035276,1.035276,1.071797
t1007,1,"3×2 6×1",0,2,2.000000,1.000000,2,2.000000,1.000000,1.000000,1.000000
t1011,1,"3×2",0,1,1.000000,1.000000,1,1.000000,1.000000,1.000000,1.000000
t1005,1,"4×1",0,1,1.000000,1.000000,1,1.000000,1.000000,1.000000,1.000000
t2016,2,"3×12 4×6",0,4,3.346065,1.195434,4,3.346065,1.195434,1.195434,1.429062
t2011,2,"3×2 6×1",0,2,1.732051,1.154701,2,2.000000,1.000000,1.154701,1.333333
t2012,2,"3×4 6×1",0,2,1.732051,1.154701,3,2.645751,1.133893,1.154701,1.333333
t2020,2,"3×20 6×1",0,4,3.605551,1.109400,4,3.605551,1.109400,1.109400,1.230769
t2015,2,"3×6 4×1",0,1,1.000000,1.000000,4,3.632651,1.101124,1.101124,1.212475
t2001,2,"3×2 4×6 6×3 12×1",0,6,5.464102,1.098076,6,5.464102,1.098076,1.098076,1.205771
t2014,2,"3×4 4×1",0,1,1.000000,1.000000,3,2.732051,1.098076,1.098076,1.205771
t2018,2,"3×8 4×3",0,3,2.732051,1.098076,3,2.732051,1.098076,1.098076,1.205771
t2007,2,"3×2 4×2 6×1",0,2,2.000000,1.000000,3,2.732051,1.098076,1.098076,1.205771
t2002,2,"3×4 4×1 12×1",0,4,3.732051,1.071797,4,3.732051,1.071797,1.071797,1.148748
t2008,2,"3×8 4×6 6×1",0,4,3.732051,1.071797,4,3.732051,1.071797,1.071797,1.148748
t2009,2,"3×8 4×6 6×1",0,4,3.732051,1.071797,4,3.732051,1.071797,1.071797,1.148748
t2013,2,"3×12 4×3 12×1",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t2005,2,"3×6 4×9 6×3",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t2017,2,"3×8 4×4",0,2,1.931852,1.035276,4,3.863703,1.035276,1.035276,1.071797
t2004,2,"3×2 4×2",0,1,1.000000,1.000000,3,2.909313,1.031171,1.031171,1.063314
t2006,2,"3×2 4×2 6×1",0,2,2.000000,1.000000,3,2.909313,1.031171,1.031171,1.063314
t2003,2,"3×2 4×3",0,1,1.000000,1.000000,4,3.898224,1.026108,1.026108,1.052898
t2019,2,"3×12 6×1",0,3,3.000000,1.000000,3,3.000000,1.000000,1.000000,1.000000
t2010,2,"3×6 6×2",0,3,3.000000,1.000000,3,3.000000,1.000000,1.000000,1.000000
t3038,3,"3×12 6×2",0,3,3.000000,1.000000,4,3.464102,1.154701,1.154701,1.333333
t3058,3,"3×18 6×1",0,4,3.464102,1.154701,4,3.464102,1.154701,1.154701,1.333333
t3043,3,"3×12 6×2",0,4,3.464102,1.154701,4,3.464102,1.154701,1.154701,1.333333
t3041,3,"3×8 6×1",0,2,1.732051,1.154701,4,3.605551,1.109400,1.154701,1.333333
t3003,3,"3×4 6×2",0,2,1.732051,1.154701,4,4.000000,1.000000,1.154701,1.333333
t3045,3,"3×12 6×2",0,2,2.000000,1.000000,6,5.196152,1.154701,1.154701,1.333333
t3040,3,"3×6 6×1",0,2,1.732051,1.154701,3,3.000000,1.000000,1.154701,1.333333
t3004,3,"3×6 6×3",0,4,3.464102,1.154701,4,3.464102,1.154701,1.154701,1.333333
t3002,3,"3×2 6×2",0,2,1.732051,1.154701,4,3.605551,1.109400,1.154701,1.333333
t3060,3,"3×32 6×1",0,5,4.358899,1.147079,5,4.358899,1.147079,1.147079,1.315789
t3061,3,"3×10 6×1",0,3,2.645751,1.133893,3,2.645751,1.133893,1.133893,1.285714
t3046,3,"3×6 6×1",0,2,2.000000,1.000000,3,2.645751,1.133893,1.133893,1.285714
t3050,3,"3×10 4×1",0,1,1.000000,1.000000,6,5.353527,1.120756,1.120756,1.256095
t3049,3,"3×8 4×1",0,1,1.000000,1.000000,5,4.464102,1.120046,1.120046,1.254503
t3056,3,"3×20 4×6 6×1",0,5,4.464102,1.120046,5,4.464102,1.120046,1.120046,1.254503
t3030,3,"3×4 4×2 6×2",0,2,2.000000,1.000000,5,4.464102,1.120046,1.120046,1.254503
t3031,3,"3×4 4×2 6×2",0,2,2.000000,1.000000,5,4.464102,1.120046,1.120046,1.254503
t3044,3,"3×10 6×1",0,2,2.000000,1.000000,4,3.605551,1.109400,1.109400,1.230769
t3039,3,"3×4 6×2",0,2,2.000000,1.000000,4,3.605551,1.109400,1.109400,1.230769
t3048,3,"3×20 4×6 12×1",0,6,5.464102,1.098076,6,5.464102,1.098076,1.098076,1.205771
t3026,3,"3×8 4×12 6×4",0,6,5.464102,1.098076,6,5.464102,1.098076,1.098076,1.205771
t3052,3,"3×8 4×2",0,1,1.000000,1.000000,6,5.464102,1.098076,1.098076,1.205771
t3033,3,"3×6 4×3 6×1",0,3,2.732051,1.098076,3,3.000000,1.000000,1.098076,1.205771
t3029,3,"3×4 4×2 6×2",0,2,2.000000,1.000000,5,4.574735,1.092959,1.092959,1.194560
t3032,3,"3×4 4×2 6×2",0,2,2.000000,1.000000,5,4.574735,1.092959,1.092959,1.194560
t3008,3,"3×12 4×6 6×1 12×2",0,7,6.464102,1.082904,7,6.464102,1.082904,1.082904,1.172681
t3007,3,"3×12 4×6 6×1 12×2",0,7,6.464102,1.082904,7,6.464102,1.082904,1.082904,1.172681
t3035,3,"3×18 4×12 6×2 12×1",0,7,6.464102,1.082904,7,6.464102,1.082904,1.082904,1.172681
t3009,3,"3×6 4×2 12×1",0,4,3.732051,1.071797,5,4.625182,1.081039,1.081039,1.168645
t3051,3,"3×6 4×2",0,1,1.000000,1.000000,5,4.625182,1.081039,1.081039,1.168645
t3021,3,"3×6 4×2",0,1,1.000000,1.000000,5,4.625182,1.081039,1.081039,1.168645
t3028,3,"3×4 4×4 6×2",0,2,2.000000,1.000000,6,5.554854,1.080136,1.080136,1.166695
t3020,3,"3×4 4×2",0,1,1.000000,1.000000,4,3.732051,1.071797,1.071797,1.148748
t3054,3,"3×14 4×6",0,4,3.732051,1.071797,4,3.732051,1.071797,1.071797,1.148748
t3057,3,"3×14 4×6",0,4,3.732051,1.071797,4,3.732051,1.071797,1.071797,1.148748
t3018,3,"3×2 4×4 6×1",0,2,2.000000,1.000000,4,3.732051,1.071797,1.071797,1.148748
t3015,3,"3×6 4×3",0,1,1.000000,1.000000,6,5.620361,1.067547,1.067547,1.139657
t3006,3,"3×6 4×3 6×1 12×1",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t3034,3,"3×12 4×9 6×2",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t3036,3,"3×18 4×9 6×1",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t3037,3,"3×18 4×9 6×1",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t3012,3,"3×2 4×6 6×1",0,2,2.000000,1.000000,5,4.732051,1.056624,1.056624,1.116455
t3014,3,"3×4 4×3",0,1,1.000000,1.000000,5,4.732051,1.056624,1.056624,1.116455
t3019,3,"3×4 4×3",0,1,1.000000,1.000000,5,4.732051,1.056624,1.056624,1.116455
t3024,3,"3×12 4×9 6×2",0,5,4.732051,1.056624,5,4.732051,1.056624,1.056624,1.116455
t3047,3,"3×26 4×6 12×1",0,6,5.732051,1.046746,6,5.732051,1.046746,1.046746,1.095677
t3013,3,"3×4 4×4",0,1,1.000000,1.000000,6,5.732051,1.046746,1.046746,1.095677
t3005,3,"3×8 4×9 6×6 12×1",0,7,6.732051,1.039802,7,6.732051,1.039802,1.039802,1.081188
t3055,3,"3×6 4×3",0,2,1.931852,1.035276,3,2.909313,1.031171,1.035276,1.071797
t3053,3,"3×12 4×6",0,2,1.931852,1.035276,6,5.795555,1.035276,1.035276,1.071797
t3022,3,"3×4 4×8 6×2",0,4,3.863703,1.035276,4,3.863703,1.035276,1.035276,1.071797
t3017,3,"3×2 4×4 6×1",0,2,2.000000,1.000000,4,3.863703,1.035276,1.035276,1.071797
t3011,3,"3×2 4×6 6×1",0,2,2.000000,1.000000,5,4.836559,1.033793,1.033793,1.068728
t3025,3,"3×4 4×4 6×1",0,3,2.909313,1.031171,3,2.909313,1.031171,1.031171,1.063314
t3023,3,"3×8 4×5",0,3,2.909313,1.031171,3,2.909313,1.031171,1.031171,1.063314
t3027,3,"3×6 4×3 6×2",0,3,3.000000,1.000000,4,3.898224,1.026108,1.026108,1.052898
t3016,3,"3×2 4×4",0,1,1.000000,1.000000,5,4.891646,1.022151,1.022151,1.044792
t3010,3,"3×2 4×5",0,1,1.000000,1.000000,6,5.887296,1.019144,1.019144,1.038654
t3059,3,"3×26 6×1",0,4,4.000000,1.000000,4,4.000000,1.000000,1.000000,1.000000
t3042,3,"3×14 6×3",0,4,4.000000,1.000000,4,4.000000,1.000000,1.000000,1.000000
t3001,3,"3×8 6×7",0,5,5.000000,1.000000,5,5.000000,1.000000,1.000000,1.000000
