k,lattice,X,Y,maxwt,prov
1,hex,4,0,2,"(3, ((3, (3, 3, 6, 6)),))"
1,hex,7,0,3,"(6, ((6, (3, 3, 3, 3, 6)),))"
1,hex,8,0,4,"(6, ((6, (3, 3, 6, 6)),))"
1,hex,4,2,3,"(6, ((6, (3, 4, 4, 6)),))"
1,hex,14,0,6,"(12, ((12, (3, 3, 3, 3, 6)),))"
1,hex,16,0,4,"(12, ((12, (3, 3, 6, 6)),))"
1,hex,8,4,4,"(12, ((12, (3, 4, 4, 6)),))"
1,hex,1,0,1,"('rigid uniform', ())"
1,hex,7,4,4,"('rigid uniform', ())"
1,hex,12,6,5,"('rigid uniform', ())"
1,hex,3,0,2,"('rigid uniform', ())"
1,square,2,1,2,"(4, ((4, (3, 3, 3, 4, 4)),))"
1,square,4,2,3,"(8, ((8, (3, 3, 3, 4, 4)),))"
1,square,1,0,1,"('rigid uniform', ())"
2,hex,4,0,2,"(2, ((1, (3, 3, 6, 6)), (2, (3, 3, 6, 6))))"
2,hex,5,0,3,"(2, ((2, (3, 3, 3, 3, 6)), (2, (3, 3, 6, 6))))"
2,hex,7,0,3,"(3, ((3, (3, 3, 3, 3, 3, 3)), (3, (3, 3, 6, 6))))"
2,hex,8,0,4,"(3, ((3, (3, 3, 3, 3, 6)), (3, (6, 6, 6))))"
2,hex,4,2,3,"(3, ((3, (3, 4, 4, 6)), (3, (3, 4, 4, 6))))"
2,hex,6,0,4,"(4, ((1, (3, 3, 6, 6)), (4, (3, 3, 3, 3, 6))))"
2,hex,10,0,4,"(4, ((4, (3, 3, 3, 3, 6)), (4, (3, 3, 6, 6))))"
2,hex,9,0,3,"(6, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6))))"
2,hex,5,2,3,"(6, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 4, 4, 6))))"
2,hex,8,4,4,"(6, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 12, 12))))"
2,hex,7,2,4,"(6, ((2, (6, 6, 6)), (6, (3, 4, 4, 6))))"
2,hex,10,4,5,"(6, ((3, (3, 3, 3, 3, 3, 3)), (6, (3, 12, 12))))"
2,hex,12,0,4,"(6, ((3, (3, 3, 6, 6)), (6, (3, 3, 6, 6))))"
2,hex,8,2,4,"(6, ((3, (3, 3, 6, 6)), (6, (3, 4, 4, 6))))"
2,hex,11,4,5,"(6, ((3, (3, 3, 6, 6)), (6, (3, 12, 12))))"
2,hex,13,0,5,"(6, ((3, (3, 3, 6, 6)), (6, (6, 6, 6))))"
2,hex,14,0,6,"(6, ((6, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6))))"
2,hex,13,4,5,"(6, ((6, (3, 3, 3, 3, 3, 3)), (6, (3, 12, 12))))"
2,hex,15,0,6,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 3, 6, 6))))"
2,hex,11,2,5,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 4, 4, 6))))"
2,hex,14,4,5,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 12, 12))))"
2,hex,16,0,4,"(6, ((6, (3, 3, 3, 3, 6)), (6, (6, 6, 6))))"
2,hex,7,4,4,"(6, ((6, (3, 3, 3, 4, 4)), (6, (3, 4, 4, 6))))"
2,hex,11,6,5,"(6, ((6, (3, 3, 4, 12)), (6, (4, 6, 12))))"
2,hex,17,0,5,"(6, ((6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
2,hex,13,2,5,"(6, ((6, (3, 4, 4, 6)), (6, (6, 6, 6))))"
2,hex,12,6,5,"(12, ((2, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 4, 12))))"
2,hex,18,0,6,"(12, ((2, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6))))"
2,hex,16,8,6,"(12, ((2, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12))))"
2,hex,19,0,5,"(12, ((2, (6, 6, 6)), (12, (3, 3, 6, 6))))"
2,hex,15,6,6,"(12, ((2, (6, 6, 6)), (12, (4, 6, 12))))"
2,hex,13,6,5,"(12, ((3, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 4, 12))))"
2,hex,17,8,6,"(12, ((3, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12))))"
2,hex,20,0,6,"(12, ((3, (3, 3, 6, 6)), (12, (3, 3, 6, 6))))"
2,hex,16,6,6,"(12, ((3, (3, 3, 6, 6)), (12, (4, 6, 12))))"
2,hex,20,8,6,"(12, ((6, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12))))"
2,hex,21,0,5,"(12, ((6, (3, 3, 3, 3, 6)), (12, (3, 3, 3, 3, 6))))"
2,hex,17,6,6,"(12, ((6, (3, 3, 3, 3, 6)), (12, (3, 3, 4, 12))))"
2,hex,25,0,7,"(12, ((6, (3, 3, 3, 3, 6)), (12, (6, 6, 6))))"
2,hex,17,2,6,"(12, ((6, (3, 3, 3, 4, 4)), (12, (3, 3, 3, 3, 6))))"
2,hex,19,2,7,"(12, ((6, (3, 3, 3, 4, 4)), (12, (3, 3, 6, 6))))"
2,hex,24,0,8,"(12, ((6, (3, 3, 6, 6)), (12, (3, 3, 6, 6))))"
2,hex,16,4,6,"(12, ((6, (3, 3, 6, 6)), (12, (3, 4, 4, 6))))"
2,hex,22,8,7,"(12, ((6, (3, 3, 6, 6)), (12, (3, 12, 12))))"
2,hex,20,6,7,"(12, ((6, (3, 3, 6, 6)), (12, (4, 6, 12))))"
2,hex,26,0,8,"(12, ((6, (3, 3, 6, 6)), (12, (6, 6, 6))))"
2,hex,16,2,6,"(12, ((6, (3, 4, 4, 6)), (12, (3, 3, 3, 3, 3, 3))))"
2,hex,14,8,6,"(12, ((6, (3, 4, 4, 6)), (12, (3, 3, 4, 12))))"
2,hex,20,2,6,"(12, ((6, (3, 4, 4, 6)), (12, (3, 3, 6, 6))))"
2,hex,19,4,6,"(12, ((6, (3, 12, 12)), (12, (3, 3, 3, 3, 3, 3))))"
2,hex,23,4,7,"(12, ((6, (3, 12, 12)), (12, (3, 3, 6, 6))))"
2,hex,19,10,7,"(12, ((6, (3, 12, 12)), (12, (4, 6, 12))))"
2,hex,17,4,5,"(12, ((6, (6, 6, 6)), (12, (3, 4, 4, 6))))"
2,hex,21,6,7,"(12, ((6, (6, 6, 6)), (12, (4, 6, 12))))"
2,hex,28,0,6,"(12, ((12, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6))))"
2,hex,26,8,8,"(12, ((12, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12))))"
2,hex,24,6,7,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 3, 4, 12))))"
2,hex,30,0,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 3, 6, 6))))"
2,hex,22,4,6,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 4, 4, 6))))"
2,hex,28,8,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 12, 12))))"
2,hex,32,0,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (6, 6, 6))))"
2,hex,22,12,7,"(12, ((12, (3, 3, 4, 12)), (12, (4, 6, 12))))"
2,hex,28,6,8,"(12, ((12, (3, 3, 6, 6)), (12, (4, 6, 12))))"
2,hex,34,0,8,"(12, ((12, (3, 3, 6, 6)), (12, (6, 6, 6))))"
2,hex,20,10,7,"(12, ((12, (3, 4, 4, 6)), (12, (4, 6, 12))))"
2,hex,26,4,8,"(12, ((12, (3, 4, 4, 6)), (12, (6, 6, 6))))"
2,hex,1,0,1,"('rigid uniform', ())"
2,hex,3,0,2,"('rigid uniform', ())"
2,square,2,1,2,"(2, ((2, (3, 3, 3, 4, 4)), (2, (3, 3, 3, 4, 4))))"
2,square,4,1,3,"(4, ((2, (4, 4, 4, 4)), (4, (3, 3, 3, 4, 4))))"
2,square,4,2,3,"(4, ((4, (3, 3, 3, 4, 4)), (4, (3, 3, 3, 4, 4))))"
2,square,7,4,4,"(4, ((4, (3, 3, 4, 12)), (4, (3, 12, 12))))"
2,square,5,2,3,"(8, ((1, (4, 4, 4, 4)), (8, (3, 3, 3, 4, 4))))"
2,square,6,3,4,"(8, ((4, (3, 3, 3, 4, 4)), (8, (3, 3, 3, 4, 4))))"
2,square,10,1,5,"(8, ((4, (3, 3, 3, 4, 4)), (8, (4, 4, 4, 4))))"
2,square,8,2,4,"(8, ((4, (4, 4, 4, 4)), (8, (3, 3, 3, 4, 4))))"
2,square,8,4,4,"(8, ((8, (3, 3, 3, 4, 4)), (8, (3, 3, 3, 4, 4))))"
2,square,14,8,6,"(8, ((8, (3, 3, 4, 12)), (8, (3, 12, 12))))"
2,square,1,0,1,"('rigid uniform', ())"
3,hex,4,0,2,"(1, ((1, (3, 3, 3, 3, 6)), (1, (3, 3, 6, 6)), (1, (6, 6, 6))))"
3,hex,5,0,3,"(2, ((2, (3, 3, 3, 3, 6)), (2, (3, 3, 6, 6))))"
3,hex,6,0,4,"(2, ((1, (3, 3, 3, 3, 3, 3)), (2, (3, 3, 3, 3, 6)), (2, (3, 3, 6, 6))))"
3,hex,7,0,3,"(2, ((1, (3, 3, 6, 6)), (2, (3, 3, 6, 6)), (2, (6, 6, 6))))"
3,hex,8,0,4,"(2, ((2, (3, 3, 3, 3, 6)), (2, (3, 3, 6, 6)), (2, (6, 6, 6))))"
3,hex,4,2,3,"(2, ((2, (3, 3, 6, 6)), (2, (3, 4, 4, 6)), (2, (4, 4, 4, 4))))"
3,hex,9,0,3,"(3, ((1, (3, 3, 3, 3, 3, 3)), (3, (3, 3, 3, 3, 6)), (3, (6, 6, 6))))"
3,hex,5,2,3,"(3, ((1, (3, 3, 3, 3, 3, 3)), (3, (3, 4, 4, 6)), (3, (3, 4, 4, 6))))"
3,hex,8,4,4,"(3, ((1, (3, 3, 3, 3, 3, 3)), (3, (3, 12, 12)), (3, (3, 12, 12))))"
3,hex,10,0,4,"(3, ((1, (6, 6, 6)), (3, (3, 3, 6, 6)), (3, (6, 6, 6))))"
3,hex,7,2,4,"(3, ((3, (3, 3, 3, 3, 3, 3)), (3, (3, 4, 4, 6)), (3, (3, 4, 4, 6))))"
3,hex,10,4,5,"(3, ((3, (3, 3, 3, 3, 3, 3)), (3, (3, 12, 12)), (3, (3, 12, 12))))"
3,hex,12,0,4,"(3, ((3, (3, 3, 3, 3, 6)), (3, (3, 3, 6, 6)), (3, (6, 6, 6))))"
3,hex,8,2,4,"(3, ((3, (3, 3, 3, 4, 4)), (3, (3, 4, 4, 6)), (3, (6, 6, 6))))"
3,hex,11,4,5,"(3, ((3, (3, 3, 6, 6)), (3, (3, 12, 12)), (3, (3, 12, 12))))"
3,hex,13,0,5,"(3, ((3, (3, 3, 6, 6)), (3, (6, 6, 6)), (3, (6, 6, 6))))"
3,hex,14,0,6,"(4, ((2, (3, 3, 6, 6)), (4, (3, 3, 6, 6)), (4, (6, 6, 6))))"
3,hex,16,0,4,"(4, ((4, (3, 3, 3, 3, 6)), (4, (3, 3, 6, 6)), (4, (6, 6, 6))))"
3,hex,13,4,5,"(6, ((6, (3, 3, 3, 3, 3, 3)), (6, (3, 12, 12))))"
3,hex,15,0,6,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 3, 6, 6))))"
3,hex,11,2,5,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 4, 4, 6))))"
3,hex,14,4,5,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 12, 12))))"
3,hex,7,4,4,"(6, ((6, (3, 3, 3, 4, 4)), (6, (3, 4, 4, 6))))"
3,hex,11,6,5,"(6, ((6, (3, 3, 4, 12)), (6, (4, 6, 12))))"
3,hex,17,0,5,"(6, ((6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,13,2,5,"(6, ((6, (3, 4, 4, 6)), (6, (6, 6, 6))))"
3,hex,12,6,5,"(6, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 4, 12)), (6, (4, 6, 12))))"
3,hex,16,4,6,"(6, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6)), (6, (3, 12, 12))))"
3,hex,18,0,6,"(6, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,13,6,5,"(6, ((2, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 4, 12)), (6, (4, 6, 12))))"
3,hex,17,4,5,"(6, ((2, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6)), (6, (3, 12, 12))))"
3,hex,19,0,5,"(6, ((2, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,16,8,6,"(6, ((2, (3, 3, 3, 3, 3, 3)), (6, (3, 12, 12)), (6, (3, 12, 12))))"
3,hex,20,0,6,"(6, ((2, (6, 6, 6)), (6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,16,2,6,"(6, ((2, (6, 6, 6)), (6, (3, 4, 4, 6)), (6, (6, 6, 6))))"
3,hex,15,6,6,"(6, ((2, (6, 6, 6)), (6, (4, 6, 12)), (6, (4, 6, 12))))"
3,hex,17,8,6,"(6, ((3, (3, 3, 3, 3, 3, 3)), (6, (3, 12, 12)), (6, (3, 12, 12))))"
3,hex,19,4,6,"(6, ((3, (3, 3, 6, 6)), (6, (3, 3, 6, 6)), (6, (3, 12, 12))))"
3,hex,21,0,5,"(6, ((3, (3, 3, 6, 6)), (6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,17,2,6,"(6, ((3, (3, 3, 6, 6)), (6, (3, 4, 4, 6)), (6, (6, 6, 6))))"
3,hex,16,6,6,"(6, ((3, (3, 3, 6, 6)), (6, (4, 6, 12)), (6, (4, 6, 12))))"
3,hex,17,6,6,"(6, ((6, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 4, 12)), (6, (4, 6, 12))))"
3,hex,19,2,7,"(6, ((6, (3, 3, 3, 3, 3, 3)), (6, (3, 4, 4, 6)), (6, (6, 6, 6))))"
3,hex,20,8,6,"(6, ((6, (3, 3, 3, 3, 3, 3)), (6, (3, 12, 12)), (6, (3, 12, 12))))"
3,hex,22,4,6,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 3, 6, 6)), (6, (3, 12, 12))))"
3,hex,24,0,8,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,20,2,6,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 4, 4, 6)), (6, (6, 6, 6))))"
3,hex,23,4,7,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 12, 12)), (6, (6, 6, 6))))"
3,hex,25,0,7,"(6, ((6, (3, 3, 3, 3, 6)), (6, (6, 6, 6)), (6, (6, 6, 6))))"
3,hex,14,8,6,"(6, ((6, (3, 3, 3, 4, 4)), (6, (3, 3, 4, 12)), (6, (4, 6, 12))))"
3,hex,20,6,7,"(6, ((6, (3, 3, 4, 12)), (6, (4, 6, 12)), (6, (6, 6, 6))))"
3,hex,22,8,7,"(6, ((6, (3, 3, 6, 6)), (6, (3, 12, 12)), (6, (3, 12, 12))))"
3,hex,26,0,8,"(6, ((6, (3, 3, 6, 6)), (6, (6, 6, 6)), (6, (6, 6, 6))))"
3,hex,19,10,7,"(6, ((6, (3, 12, 12)), (6, (4, 6, 12)), (6, (4, 6, 12))))"
3,hex,21,6,7,"(6, ((6, (4, 6, 12)), (6, (4, 6, 12)), (6, (6, 6, 6))))"
3,hex,28,0,6,"(12, ((12, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6))))"
3,hex,26,8,8,"(12, ((12, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12))))"
3,hex,24,6,7,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 3, 4, 12))))"
3,hex,30,0,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 3, 6, 6))))"
3,hex,28,8,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 12, 12))))"
3,hex,32,0,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (6, 6, 6))))"
3,hex,22,12,7,"(12, ((12, (3, 3, 4, 12)), (12, (4, 6, 12))))"
3,hex,28,6,8,"(12, ((12, (3, 3, 6, 6)), (12, (4, 6, 12))))"
3,hex,34,0,8,"(12, ((12, (3, 3, 6, 6)), (12, (6, 6, 6))))"
